step 0 chosen=248068 top5: [248068]=0.0000 [248046]=-31.2025 [248045]=-31.2974 [248058]=-31.3316 [248069]=-32.6182
step 1 chosen=198 top5: [198]=-0.0021 [271]=-6.1738 [1358]=-15.7567 [248046]=-16.3588 [248044]=-17.2472
step 2 chosen=760 top5: [760]=-0.0000 [97237]=-12.3705 [561]=-14.3135 [1919]=-14.7828 [1421]=-14.8708
step 3 chosen=1156 top5: [1156]=-0.0000 [846]=-13.4998 [97237]=-16.1301 [11346]=-16.3837 [43462]=-16.6479
step 4 chosen=6587 top5: [6587]=-0.7658 [16561]=-1.0305 [369]=-1.7254 [9859]=-9.6420 [4439]=-10.9979
step 5 chosen=264 top5: [264]=-0.0328 [728]=-3.4348 [449]=-13.3405 [11346]=-13.6869 [821]=-15.5779
step 6 chosen=11346 top5: [11346]=-0.0000 [15352]=-12.5601 [98153]=-13.7073 [61338]=-14.4723 [60552]=-14.5977
step 7 chosen=15673 top5: [15673]=-0.0000 [11]=-11.0581 [10597]=-12.6902 [10033]=-13.1595 [39492]=-14.9042
step 8 chosen=314 top5: [314]=-0.0000 [494]=-13.5967 [11]=-14.1152 [10419]=-14.3285 [3018]=-15.2104
step 9 chosen=1204 top5: [1204]=-0.0000 [279]=-10.6751 [1167]=-12.0566 [42903]=-12.5320 [3069]=-13.0301
step 10 chosen=279 top5: [279]=-0.0620 [1167]=-2.8847 [411]=-5.4574 [328]=-12.8571 [469]=-13.2364
step 11 chosen=1167 top5: [1167]=-0.0005 [17120]=-7.7368 [7246]=-11.4425 [328]=-11.6741 [469]=-11.8714
step 12 chosen=16451 top5: [16451]=-0.0000 [868]=-13.5942 [1717]=-14.6078 [36122]=-15.2705 [38899]=-15.3499
step 13 chosen=18 top5: [18]=-0.0000 [220]=-11.4847 [17]=-13.4905 [1167]=-13.6246 [17120]=-13.6263
step 14 chosen=13 top5: [13]=-0.0000 [12]=-12.0858 [23]=-13.7707 [1926]=-13.7851 [14]=-14.4233
step 15 chosen=23 top5: [23]=-0.0000 [20]=-12.1682 [22]=-12.7688 [21]=-13.4370 [17]=-14.1388
step 16 chosen=12 top5: [12]=-0.0001 [16753]=-10.1070 [10923]=-11.1878 [89681]=-11.2089 [7049]=-11.3300
step 17 chosen=23129 top5: [23129]=-0.0014 [5666]=-6.7677 [3751]=-10.4521 [73113]=-10.6197 [30001]=-10.8952
step 18 chosen=12 top5: [12]=-0.0000 [5666]=-11.0903 [10923]=-12.5885 [14]=-13.0561 [9019]=-13.2875
step 19 chosen=5666 top5: [5666]=-0.0000 [8547]=-12.3659 [9019]=-12.6054 [12]=-12.7468 [6738]=-13.3243
step 20 chosen=17120 top5: [17120]=-0.0002 [318]=-9.5250 [41052]=-10.1915 [36593]=-10.3816 [77646]=-11.4959
step 21 chosen=3520 top5: [3520]=-0.0344 [33793]=-3.5290 [79744]=-6.0846 [7246]=-7.1556 [318]=-7.1993
step 22 chosen=42903 top5: [42903]=-0.0001 [348]=-9.9257 [2972]=-11.4319 [777]=-12.3736 [22846]=-14.0041
step 23 chosen=777 top5: [777]=-0.0053 [318]=-5.2686 [10727]=-9.7083 [14588]=-10.9238 [14]=-11.9172
